"LEVEL3_N","mean_temp","precipatation","temp_seasonality","ivs","temp_anomaly","prec_anomaly","active","passive","longitude","latitude"
"Nicobar Is.",26.8392028808594,2619.23974609375,48.9909172058105,1015772.5625,38.3941116333008,369.076629638672,13,7,93.602583202648,7.50618584186836
"Niger",27.2397136688232,138.940734863281,513.4130859375,199.14469909668,78.9335021972656,82.1993713378906,3,2,9.34372198588422,17.4190134337958
"Nigeria",26.6272449493408,1160.22619628906,204.206283569336,110373.4375,49.657398223877,169.466278076172,51,23,8.09538856790307,9.59039153606862
"Niue",24.8046016693115,2248.75805664062,135.005233764648,7169.1748046875,28.7551536560059,-380.329010009766,3,NA,-169.868583394189,-19.0518974945213
"Norfolk Is.",19.5136775970459,1359.62438964844,230.874877929688,0,23.6570930480957,-53.1486473083496,4,NA,166.220745012216,-29.5863524134479
"North Carolina",14.8987550735474,1260.42260742188,759.464538574219,725900.6875,109.627487182617,-38.5604858398438,5,NA,-79.3791124444923,35.5623064882463
"Northern Provinces",18.8268280029297,603.758911132812,415.752136230469,99557.1796875,48.5732345581055,-28.2608413696289,3,2,28.1063299642317,-25.2694860188767
"Northern Territory",25.0833721160889,574.774047851562,478.328247070312,9457.626953125,41.5234451293945,-42.696044921875,7,1,133.357487317499,-19.3375877754245
"Nova Scotia",5.87743663787842,1408.67529296875,876.499145507812,909032.8125,219.336639404297,519.063781738281,2,NA,-63.3395398172766,45.1518039053392
"Ogasawara-shoto",22.921667098999,1307.25231933594,365.242004394531,NA,42.9323272705078,-138.094451904297,5,1,142.118012414113,27.0075616146927
"Ohio",10.2710800170898,976.730773925781,936.868225097656,351165.75,204.892822265625,-51.9307708740234,2,NA,-82.7148852618583,40.4094736181278
"Oklahoma",15.3706464767456,880.030334472656,905.918518066406,234064.5,155.445510864258,-91.2709503173828,3,NA,-97.495057794733,35.5893458535183
"Ontario",0.674309194087982,747.424987792969,1268.27380371094,671408.4375,321.142517089844,304.73779296875,1,NA,-85.4492793084723,49.9389751668814
"Pakistan",22.5520687103271,271.513397216797,758.885864257812,8254.8125,59.419002532959,84.7718124389648,1,1,68.6744817993066,29.3110466171701
"Panama",25.128454208374,2637.28955078125,57.0113334655762,832786.5625,35.0166625976562,153.994842529297,187,35,-80.1086265428728,8.50812808875495
"Paraguay",23.6331195831299,1072.41320800781,344.091247558594,372871.75,25.1076469421387,-52.974739074707,69,12,-58.4340686084001,-23.217026005793
"Pennsylvania",9.16173934936523,1066.64538574219,912.883361816406,831079.625,187.802474975586,-222.709396362305,3,NA,-77.8382808833214,40.9061084805309
"Peru",19.3926944732666,1584.51281738281,85.500373840332,853306.1875,41.1765174865723,21.0180931091309,267,49,-74.41386758064,-9.11819408271515
"Philippines",25.730001449585,2522.1650390625,94.4546051025391,436634.96875,44.6965637207031,14.9278039932251,21,11,122.908027973749,11.7014107776445
"Primorye",1.4798595905304,773.084838867188,1369.18835449219,1144805.375,91.4608917236328,100.790916442871,3,NA,134.643441402589,45.1531877410832
"Prince Edward I.",5.34782648086548,1147.34228515625,964.987182617188,292864.09375,233.422973632812,543.827209472656,1,NA,-63.2414221875582,46.3970757210851
"Puerto Rico",24.4707279205322,1707.95141601562,132.282135009766,442565.65625,45.886791229248,544.513671875,28,8,-66.4661435002926,18.221359433062
"Queensland",23.1447792053223,633.754272460938,478.299377441406,96844.640625,44.4418830871582,-17.0574722290039,25,7,144.461742090807,-22.5026208600737
"Québec",-2.55986857414246,792.015930175781,1260.56701660156,409045.25,309.529907226562,553.450744628906,1,NA,-71.7671798160453,53.0237752628251
"Rhode I.",9.58186531066895,1227.79833984375,888.611938476562,870934.5625,245.044525146484,50.3061065673828,2,NA,-71.5599183554925,41.6834992787693
"Rodrigues",23.9510250091553,1124.99987792969,188.965911865234,NA,30.8221435546875,-263.982940673828,5,1,63.4135239197583,-19.7177954215355
"Romania",8.83516979217529,615.093139648438,820.082275390625,332664.71875,67.9863586425781,-5.42602443695068,1,NA,24.9789931350316,45.8391852047014
"Rwanda",18.8978023529053,1164.54467773438,30.668664932251,216524.34375,63.2140960693359,121.560195922852,6,6,29.917291057523,-1.99797273963049
"Réunion",19.0798721313477,1574.65051269531,231.262191772461,753801.75,34.8972015380859,-95.3642959594727,5,6,55.5381254265216,-21.1215910262493
"Sakhalin",-0.677902340888977,728.928771972656,1187.64404296875,888855.25,117.815551757812,75.3040542602539,1,NA,142.71138898386,50.2469687901543
"Samoa",24.6599903106689,3448.78930664062,58.1583099365234,77131.65625,28.8384857177734,380.490570068359,4,1,-172.032910418687,-13.7971525950491
"Santa Cruz Is.",26.6869163513184,4452.35498046875,42.6967735290527,424260.125,27.0935153961182,1722.71484375,3,1,166.223169689029,-10.9918015964851
"Saskatchewan",-0.0597491748631,443.439788818359,1342.89196777344,330184,300.650054931641,204.260665893555,1,NA,-105.873825449567,54.1951751390182
"Senegal",27.8282737731934,652.488525390625,230.650985717773,34456.16015625,39.8119621276855,-21.2884197235107,16,4,-14.4640750182823,14.3655657204722
"Seychelles",26.423131942749,2300.76440429688,70.1557922363281,67719.375,32.2834739685059,-64.0361862182617,4,1,55.5218078453907,-4.70141617336929
"Sicilia",15.8309850692749,520.621215820312,571.719116210938,59751.1640625,54.4258880615234,-51.770133972168,1,NA,14.1484537191398,37.5662871610588
"Sierra Leone",26.0958366394043,2721.82373046875,109.236366271973,395692.28125,44.5446281433105,162.231155395508,33,13,-11.7920197309325,8.55955130636064
"Society Is.",23.3865432739258,1935.80407714844,122.907089233398,0,33.8398399353027,-3.64097571372986,5,1,-149.886828021676,-17.4528089349664
"Solomon Is.",25.6079483032227,3243.62524414062,44.4175987243652,1261605.25,30.9443759918213,350.361053466797,12,6,158.323338603641,-8.148689810433
"Somalia",26.3449077606201,272.393096923828,162.816070556641,5170.6787109375,44.8957481384277,47.3197212219238,2,3,45.8402773380236,6.0484402389902
"South Carolina",16.8756008148193,1243.30895996094,726.925170898438,688474.9375,89.5180206298828,19.3094024658203,4,NA,-80.8944410936753,33.9157970895321
"South Dakota",7.555832862854,491.715484619141,1140.701171875,38773.3125,215.461929321289,21.0072841644287,1,NA,-100.216607626719,44.4457475337915
"South European Russia",7.87255144119263,397.147094726562,1151.6845703125,37151.4375,78.649299621582,104.997695922852,1,NA,44.6233412014791,48.8627793690808
