"sla","la","seed","leafnitro","wd","IDmaster"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"81"
11.1,35.8454,4821.799,22.0355434205,4.2595,"82"
13.52304372905,24.90735,139.7,12.6190904596,0.5164,"83"
9.04150230739,34.8065,980,17.474735,0.4295,"84"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"85"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"86"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"87"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"88"
11.00747207293,36.23,3.96,16.7487094291,0.5002,"89"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"90"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"91"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"92"
11.76613998996,34.3,195.16,17.15923,0.4988,"93"
15.12886787,40.6,222.1859766127,18.9715,0.5276,"94"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"95"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"96"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"97"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"98"
28.2557698018,399.4386,4774.8466,27.34426642,6.96180000000001,"99"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"100"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"101"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"102"
17.91569736,65.7,269.80631715637,32.85,0.49,"103"
11.49642967,30.44,69,15.683713909,0.5045,"104"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"105"
24.6342606048,112.9254,4870.9022,39.38716744,4.7221,"106"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"107"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"108"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"109"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"110"
20.2820817366,70,859.579402887073,27.9680583369,0.397098,"111"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"112"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"113"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"114"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"115"
31.5,193.7523,4877.0653,32.0092994696,4.298186,"116"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"117"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"118"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"119"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"120"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"121"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"122"
22.8,99.0123438336,640.039224177,25.404,0.490696,"123"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"124"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"125"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"126"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"127"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"128"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"129"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"130"
14.26498548,20.01,83.625251926,10.2035907,0.5148,"131"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"132"
12.76925052908,19.69,26.3,13.3350762892,0.5143,"133"
16.47470471733,17.2,5.85,20.5850678708,0.65,"134"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"135"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"136"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"137"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"138"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"139"
21.1081813616,107.99,4957.155004591,36.8672340752,5.0771,"140"
16.4205013269,29.65,5.99,22.6232524054,0.5913,"141"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"142"
11.97728260715,29.5836,28.44051276,14.5114147899,0.5038,"143"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"144"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"145"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"146"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"147"
17.18713991519,17.59,12.89,20.4415319638,0.579799999999999,"148"
14.83417235,118.1352167,1094.428450922,1.7345,0.2,"149"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"150"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"151"
12.80146409815,12.11,75,12.3249456718,0.5191,"152"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"153"
20.02306388783,64.9,235.73,29.307223525,0.4575,"154"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"155"
11.14886011345,0.1,32,15.4998986989,0.4876,"156"
43.6,240.7255,1020.42247444259,29.8533065277,0.676295999999999,"157"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"158"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"159"
12.68514842207,27.092,52.675,12.7814187044,0.5011,"160"
32.07296803056,170.390716666667,4756.8174280228,22.40517727,4.290996,"161"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"162"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"163"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"164"
11.42669942727,25.6516,162.1556430758,14.7,0.4987,"165"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"166"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"167"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"168"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"169"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"170"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"171"
12.09488905867,32.86,157.3161489845,11.5,0.4881,"172"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"173"
24.62,184.197466666667,553.120267041143,26,0.58,"174"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"175"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"176"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"177"
16.90792636943,22.3866666666667,15,20.7054601498,0.5876,"178"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"179"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"180"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"181"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"182"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"183"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"184"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"185"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"186"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"187"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"188"
24.8001799558,402.8703,4927.0432,36.4909569534,8.6537,"189"
