"scientific_name","match_name","match_status","accepted_plant_name_id","ipni_id","accepted_taxon_name","accepted_family_name","accepted_genus_name","accepted_taxon_authors"
"Dalbergia frutescens","Dalbergia frutescens","Accepted",2755580,"75939-2","Dalbergia frutescens","Fabaceae","Dalbergia","(Vell.) Britton"
"Dalbergia monetaria","Dalbergia monetaria","Accepted",2755742,"490342-1","Dalbergia monetaria","Fabaceae","Dalbergia","L.f."
"Dalbergia negrensis","Dalbergia negrensis","Accepted",2755759,"1213501-2","Dalbergia negrensis","Fabaceae","Dalbergia","(Radlk.) Ducke"
"Dalbergia saxatilis","Dalbergia saxatilis","Accepted",2755874,"490455-1","Dalbergia saxatilis","Fabaceae","Dalbergia","Hook.f."
"Dalhousiea africana","Dalhousiea africana","Accepted",2756533,"490952-1","Dalhousiea africana","Fabaceae","Dalhousiea","S.Moore"
"Danais fragrans","Danais fragrans","Accepted",56287,"748144-1","Danais fragrans","Rubiaceae","Danais","(Lam.) Pers."
"Davilla kunthii","Davilla kunthii","Accepted",2758420,"316577-1","Davilla kunthii","Dilleniaceae","Davilla","A.St.-Hil."
"Davilla nitida","Davilla nitida","Accepted",2758438,"77025-2","Davilla nitida","Dilleniaceae","Davilla","(Vahl) Kubitzki"
"Davilla rugosa","Davilla rugosa","Accepted",2758447,"328431-2","Davilla rugosa","Dilleniaceae","Davilla","Poir."
"Derris laxiflora","Derris laxiflora","Accepted",2761542,"491352-1","Derris laxiflora","Fabaceae","Derris","Benth."
"Dewevrea bilabiata","Dewevrea bilabiata","Accepted",2763413,"492285-1","Dewevrea bilabiata","Fabaceae","Dewevrea","Micheli"
"Dicella julianii","Dicella julianii","Accepted",2765587,"79199-2","Dicella julianii","Malpighiaceae","Dicella","(J.F.Macbr.) W.R.Anderson"
"Dicella macroptera","Dicella macroptera","Accepted",2765589,"556292-1","Dicella macroptera","Malpighiaceae","Dicella","A.Juss."
"Dichapetalum barteri","Dichapetalum barteri","Accepted",2765763,"163179-1","Dichapetalum barteri","Dichapetalaceae","Dichapetalum","Engl."
"Dichapetalum cymulosum","Dichapetalum cymulosum","Accepted",2765818,"163195-1","Dichapetalum cymulosum","Dichapetalaceae","Dichapetalum","(Oliv.) Engl."
"Dichapetalum heudelotii","Dichapetalum heudelotii","Accepted",2765888,"163215-1","Dichapetalum heudelotii","Dichapetalaceae","Dichapetalum","(Planch. ex Oliv.) Baill."
"Dichapetalum insigne","Dichapetalum insigne","Accepted",2765903,"316261-1","Dichapetalum insigne","Dichapetalaceae","Dichapetalum","Engl."
"Dichapetalum integripetalum","Dichapetalum integripetalum","Accepted",2765904,"163221-1","Dichapetalum integripetalum","Dichapetalaceae","Dichapetalum","Engl."
"Dichapetalum madagascariense","Dichapetalum madagascariense","Accepted",2765950,"163234-1","Dichapetalum madagascariense","Dichapetalaceae","Dichapetalum","Poir."
"Dichapetalum mombuttense","Dichapetalum mombuttense","Accepted",2765973,"163237-1","Dichapetalum mombuttense","Dichapetalaceae","Dichapetalum","Engl."
"Dichapetalum mossambicense","Dichapetalum mossambicense","Accepted",2765979,"163239-1","Dichapetalum mossambicense","Dichapetalaceae","Dichapetalum","(Klotzsch) Engl."
"Dichapetalum mundense","Dichapetalum mundense","Accepted",2765982,"163240-1","Dichapetalum mundense","Dichapetalaceae","Dichapetalum","Engl."
