"IDmaster","habit","accepted_taxon_name","accepted_genus_name","accepted_family_name","sla","la","seed","leafnitro","wd"
526,"passive","Randia altiscandens","Randia","Rubiaceae",NA,NA,NA,14.9,NA
527,"active","Rhaphiostylis preussii","Rhaphiostylis","Metteniusaceae",NA,NA,NA,NA,NA
528,"active","Rourea adenophora","Rourea","Connaraceae",NA,NA,NA,NA,NA
529,"active","Rourea camptoneura","Rourea","Connaraceae",NA,NA,NA,NA,NA
530,"active","Rourea cuspidata","Rourea","Connaraceae",NA,NA,NA,NA,NA
531,"active","Rourea glabra","Rourea","Connaraceae",NA,NA,NA,NA,NA
532,"active","Rourea krukovii","Rourea","Connaraceae",NA,NA,NA,NA,NA
533,"active","Rourea surinamensis","Rourea","Connaraceae",NA,NA,145,NA,NA
534,"active","Rourea emarginata","Rourea","Connaraceae",NA,NA,NA,NA,NA
535,"active","Saba comorensis","Saba","Apocynaceae",NA,62.61,636.41,NA,NA
536,"active","Sabicea calycina","Sabicea","Rubiaceae",NA,NA,NA,NA,NA
537,"active","Sabicea panamensis","Sabicea","Rubiaceae",NA,NA,NA,NA,NA
538,"active","Sabicea rosea","Sabicea","Rubiaceae",NA,NA,NA,NA,NA
539,"active","Salacia alata","Salacia","Celastraceae",NA,NA,NA,NA,NA
540,"active","Salacia alwynii","Salacia","Celastraceae",NA,NA,NA,NA,NA
541,"active","Salacia cordata","Salacia","Celastraceae",NA,NA,NA,NA,NA
542,"active","Salacia debilis","Salacia","Celastraceae",NA,NA,NA,NA,NA
543,"passive","Salacia elegans","Salacia","Celastraceae",NA,35.74,283.04,NA,NA
544,"active","Salacia elliptica","Salacia","Celastraceae",NA,NA,NA,NA,0.76
545,"passive","Salacia erecta","Salacia","Celastraceae",NA,18.25,NA,NA,NA
546,"active","Salacia juruana","Salacia","Celastraceae",NA,NA,NA,NA,NA
547,"passive","Salacia longipes","Salacia","Celastraceae",NA,NA,NA,NA,NA
548,"passive","Salacia madagascariensis","Salacia","Celastraceae",NA,NA,NA,NA,NA
549,"passive","Salacia nitida","Salacia","Celastraceae",NA,NA,NA,NA,NA
550,"passive","Salacia senegalensis","Salacia","Celastraceae",NA,NA,NA,NA,NA
551,"passive","Salacia zenkeri","Salacia","Celastraceae",NA,NA,NA,NA,NA
552,"active","Salacighia letestuana","Salacighia","Celastraceae",NA,NA,NA,NA,NA
553,"passive","Schlegelia brachyantha","Schlegelia","Schlegeliaceae",NA,NA,NA,NA,0.3
554,"passive","Schlegelia chocoensis","Schlegelia","Schlegeliaceae",NA,NA,NA,NA,NA
555,"passive","Schlegelia darienensis","Schlegelia","Schlegeliaceae",NA,NA,NA,NA,NA
556,"passive","Schlegelia dressleri","Schlegelia","Schlegeliaceae",NA,NA,NA,NA,NA
557,"passive","Schlegelia fastigiata","Schlegelia","Schlegeliaceae",NA,NA,NA,NA,NA
558,"passive","Schlegelia macrophylla","Schlegelia","Schlegeliaceae",NA,NA,NA,NA,NA
559,"passive","Schlegelia parviflora","Schlegelia","Schlegeliaceae",NA,NA,NA,8.3,NA
560,"passive","Schlegelia scandens","Schlegelia","Schlegeliaceae",NA,NA,NA,NA,NA
561,"active","Sciadotenia eichleriana","Sciadotenia","Menispermaceae",NA,NA,NA,NA,NA
562,"active","Sciadotenia toxifera","Sciadotenia","Menispermaceae",NA,NA,NA,NA,NA
563,"active","Secondatia densiflora","Secondatia","Apocynaceae",NA,NA,NA,NA,NA
564,"active","Securidaca cacumina","Securidaca","Polygalaceae",NA,NA,NA,NA,NA
565,"active","Securidaca coriacea","Securidaca","Polygalaceae",NA,NA,40.11,NA,NA
566,"active","Securidaca divaricata","Securidaca","Polygalaceae",NA,NA,NA,NA,NA
567,"passive","Securidaca diversifolia","Securidaca","Polygalaceae",16.267098,20.85,NA,NA,NA
568,"active","Selysia cordata","Selysia","Cucurbitaceae",NA,NA,NA,NA,NA
569,"active","Selysia prunifera","Selysia","Cucurbitaceae",NA,NA,NA,NA,NA
570,"active","Semialarium paniculatum","Semialarium","Celastraceae",NA,NA,NA,NA,NA
571,"passive","Senegalia alemquerensis","Senegalia","Fabaceae",NA,NA,NA,NA,NA
572,"active","Senegalia altiscandens","Senegalia","Fabaceae",NA,NA,NA,NA,NA
573,"active","Senegalia klugii","Senegalia","Fabaceae",NA,NA,NA,NA,NA
574,"passive","Senegalia macbridei","Senegalia","Fabaceae",NA,NA,NA,NA,NA
575,"active","Serjania atrolineata","Serjania","Sapindaceae",19.05442,20.88,17.03,20.1,NA
